policy,tolerance,violation_steps,violation_episodes
double_dqn,0.0,0,0
double_dqn,1e-12,0,0
double_dqn,1e-10,0,0
double_dqn,1e-08,0,0
double_dqn,1e-06,0,0
fixed_fueling,0.0,400,100
fixed_fueling,1e-12,300,100
fixed_fueling,1e-10,300,100
fixed_fueling,1e-08,300,100
fixed_fueling,1e-06,300,100
price_reactive,0.0,391,99
price_reactive,1e-12,292,98
price_reactive,1e-10,292,98
price_reactive,1e-08,292,98
price_reactive,1e-06,292,98
safe_stock,0.0,100,100
safe_stock,1e-12,0,0
safe_stock,1e-10,0,0
safe_stock,1e-08,0,0
safe_stock,1e-06,0,0
