seed,episode,policy,reward,Synthetic Cost Index,success,fuel_depletion,bunkering_count,termination_reason
42,0,safe_stock,-0.5,582439.2315161598,true,false,1,arrived
43,1,safe_stock,-0.4637153611755764,531445.6731577368,true,false,1,arrived
44,2,safe_stock,-0.4956970163559191,643815.6653369192,true,false,1,arrived
45,3,safe_stock,-0.4546896891568998,478032.2676576673,true,false,1,arrived
46,4,safe_stock,-0.49880456676331236,531602.1454162375,true,false,1,arrived
47,5,safe_stock,-0.48906163834739963,499758.72965887375,true,false,1,arrived
48,6,safe_stock,-0.4989653081400902,568889.818834797,true,false,1,arrived
49,7,safe_stock,-0.5,653057.5585272899,true,false,1,arrived
50,8,safe_stock,-0.47436094680176083,540758.4942591543,true,false,1,arrived
51,9,safe_stock,-0.4750430604816473,496962.26830346824,true,false,1,arrived
52,10,safe_stock,-0.5,518471.36735537223,true,false,1,arrived
53,11,safe_stock,-0.5,568902.1677677797,true,false,1,arrived
54,12,safe_stock,-0.5,512043.8463875877,true,false,1,arrived
55,13,safe_stock,-0.5,603784.2790804813,true,false,1,arrived
56,14,safe_stock,-0.5,536766.4839018809,true,false,1,arrived
57,15,safe_stock,-0.5,590232.3015869744,true,false,1,arrived
58,16,safe_stock,-0.49133042095893975,493783.5141301029,true,false,1,arrived
59,17,safe_stock,-0.5,541808.9637736013,true,false,1,arrived
60,18,safe_stock,-0.5,522184.0182331332,true,false,1,arrived
61,19,safe_stock,-0.5,517795.3855915879,true,false,1,arrived
62,20,safe_stock,-0.5,471980.1845276646,true,false,1,arrived
63,21,safe_stock,-0.5,667707.5535620592,true,false,1,arrived
64,22,safe_stock,-0.5,516424.0234057216,true,false,1,arrived
65,23,safe_stock,-0.5,512138.84729983105,true,false,1,arrived
66,24,safe_stock,-0.5,580172.7347718882,true,false,1,arrived
67,25,safe_stock,-0.5,522773.5050307917,true,false,1,arrived
68,26,safe_stock,-0.4815901811670055,676599.2067954433,true,false,1,arrived
69,27,safe_stock,-0.5,638385.2311165916,true,false,1,arrived
70,28,safe_stock,-0.5,567512.7102958306,true,false,1,arrived
71,29,safe_stock,-0.4884754267500702,558678.4619835827,true,false,1,arrived
72,30,safe_stock,-0.5,511695.27971096215,true,false,1,arrived
73,31,safe_stock,-0.48653820182067065,482532.2417075925,true,false,1,arrived
74,32,safe_stock,-0.5,577456.671638655,true,false,1,arrived
75,33,safe_stock,-0.5,520063.2860796345,true,false,1,arrived
76,34,safe_stock,-0.5,573252.1914440611,true,false,1,arrived
77,35,safe_stock,-0.4823344874795586,553468.4030121665,true,false,1,arrived
78,36,safe_stock,-0.5,565372.4197358798,true,false,1,arrived
79,37,safe_stock,-0.5,586057.9851223229,true,false,1,arrived
80,38,safe_stock,-0.4986479834595795,591516.1949405294,true,false,1,arrived
81,39,safe_stock,-0.5,616966.4139908951,true,false,1,arrived
82,40,safe_stock,-0.4809358306547399,643168.4688433029,true,false,1,arrived
83,41,safe_stock,-0.5,478394.3169681721,true,false,1,arrived
84,42,safe_stock,-0.4745390231723767,431030.86975656304,true,false,1,arrived
85,43,safe_stock,-0.49647727338475445,578980.624169173,true,false,1,arrived
86,44,safe_stock,-0.5,472728.9868945339,true,false,1,arrived
87,45,safe_stock,-0.48476417265726235,566592.8182799863,true,false,1,arrived
88,46,safe_stock,-0.5,532285.6988352805,true,false,1,arrived
89,47,safe_stock,-0.481794178094819,515492.1818101435,true,false,1,arrived
90,48,safe_stock,-0.49801451132872354,661882.5881278574,true,false,1,arrived
91,49,safe_stock,-0.5,604482.2411051326,true,false,1,arrived
92,50,safe_stock,-0.49354066443660055,393392.7993004147,true,false,1,arrived
93,51,safe_stock,-0.5,655855.9555219463,true,false,1,arrived
94,52,safe_stock,-0.5,597238.92119073,true,false,1,arrived
95,53,safe_stock,-0.47840810970076236,535081.9697762794,true,false,1,arrived
96,54,safe_stock,-0.5,520609.63569448405,true,false,1,arrived
97,55,safe_stock,-0.47714588569020067,520880.06360825204,true,false,1,arrived
98,56,safe_stock,-0.48403371951252566,483765.6032456958,true,false,1,arrived
99,57,safe_stock,-0.5,571656.9554111217,true,false,1,arrived
100,58,safe_stock,-0.5,515488.8788472447,true,false,1,arrived
101,59,safe_stock,-0.46806015388777267,475756.9775514094,true,false,1,arrived
102,60,safe_stock,-0.5,640074.3568085551,true,false,1,arrived
103,61,safe_stock,-0.4794907276099303,567761.1673633591,true,false,1,arrived
104,62,safe_stock,-0.5,652418.4637286201,true,false,1,arrived
105,63,safe_stock,-0.4824709370391651,560943.1539788679,true,false,1,arrived
106,64,safe_stock,-0.5,617224.5812649574,true,false,1,arrived
107,65,safe_stock,-0.49669325701002287,542149.9551048239,true,false,1,arrived
108,66,safe_stock,-0.4955732592436688,732777.0551927269,true,false,1,arrived
109,67,safe_stock,-0.5,632186.9617205445,true,false,1,arrived
110,68,safe_stock,-0.5,579080.7277783563,true,false,1,arrived
111,69,safe_stock,-0.4806748488356437,508435.12553506385,true,false,1,arrived
112,70,safe_stock,-0.5,482911.6868660387,true,false,1,arrived
113,71,safe_stock,-0.5,666547.6458065059,true,false,1,arrived
114,72,safe_stock,-0.5,507322.8488003717,true,false,1,arrived
115,73,safe_stock,-0.48044130542566005,551093.593906463,true,false,1,arrived
116,74,safe_stock,-0.49879406709197666,515724.7127587397,true,false,1,arrived
117,75,safe_stock,-0.4895529736679591,540308.1943842042,true,false,1,arrived
118,76,safe_stock,-0.5,531010.1572269904,true,false,1,arrived
119,77,safe_stock,-0.5,514769.54482784984,true,false,1,arrived
120,78,safe_stock,-0.49317922281481574,524758.587979334,true,false,1,arrived
121,79,safe_stock,-0.5,536381.3592767261,true,false,1,arrived
122,80,safe_stock,-0.5,446537.61537656066,true,false,1,arrived
123,81,safe_stock,-0.5,526238.698877236,true,false,1,arrived
124,82,safe_stock,-0.4650778228542415,494635.603475618,true,false,1,arrived
125,83,safe_stock,-0.4805136386300305,357460.7759825033,true,false,1,arrived
126,84,safe_stock,-0.48611621062480503,538843.2754281263,true,false,1,arrived
127,85,safe_stock,-0.48470453455151413,435858.0748398989,true,false,1,arrived
128,86,safe_stock,-0.47324567238179616,545361.286733034,true,false,1,arrived
129,87,safe_stock,-0.5,544509.8643868954,true,false,1,arrived
130,88,safe_stock,-0.5,561089.570937392,true,false,1,arrived
131,89,safe_stock,-0.5,603156.5121742559,true,false,1,arrived
132,90,safe_stock,-0.470780036731406,532429.7861328634,true,false,1,arrived
133,91,safe_stock,-0.5,483173.5819921415,true,false,1,arrived
134,92,safe_stock,-0.48902288891020185,581499.9198369537,true,false,1,arrived
135,93,safe_stock,-0.4840019123034492,573163.5339016039,true,false,1,arrived
136,94,safe_stock,-0.4930042798428096,533631.4458097703,true,false,1,arrived
