metric,value
records,6028
columns,8
missing_cells,0
exact_duplicate_rows,38
year_min,2022
year_max,2024
bunker_quantity_zero_rows,250
bunker_quantity_mean,358.82
bunker_quantity_median,200
bunker_quantity_q1,100
bunker_quantity_q3,500
bunker_quantity_p95,1000
bunker_quantity_max,30000
gross_tonnage_median,7675
gross_tonnage_max,628121
gross_tonnage_over_400000_rows,2
negative_schedule_duration_rows,55
application_lead_time_median_days,1
application_lead_time_q1_days,1
application_lead_time_q3_days,2
application_lead_time_min_days,-31
application_lead_time_max_days,22
negative_application_lead_time_rows,71
gross_tonnage_bunker_quantity_correlation,0.2383
