Warning: truncated output (original token count: 39953)
Total output lines: 2077

iso_week,chokepoint_id,vessel_type,transit_count,year,observation_date,transit_baseline,transit_baseline_ratio
1,Bab-Al Mandab Strait,Cargo,165.0,2022,2022-01-03,,
1,Bab-Al Mandab Strait,Other,121.0,2022,2022-01-03,,
1,Bab-Al Mandab Strait,Tanker,108.0,2022,2022-01-03,,
1,Cape of Good Hope,Cargo,75.0,2022,2022-01-03,,
1,Cape of Good Hope,Other,184.0,2022,2022-01-03,,
1,Cape of Good Hope,Tanker,82.0,2022,2022-01-03,,
1,Dover,Cargo,602.0,2022,2022-01-03,,
1,Dover,Other,134.0,2022,2022-01-03,,
1,Dover,Tanker,428.0,2022,2022-01-03,,
1,Hormuz,Cargo,92.0,2022,2022-01-03,,
1,Hormuz,Other,68.0,2022,2022-01-03,,
1,Hormuz,Tanker,297.0,2022,2022-01-03,,
1,Suez,Cargo,158.0,2022,2022-01-03,,
1,Suez,Other,115.0,2022,2022-01-03,,
1,Suez,Tanker,108.0,2022,2022-01-03,,
1,Taiwan Strait,Cargo,556.0,2022,2022-01-03,,
1,Taiwan Strait,Other,219.0,2022,2022-01-03,,
1,Taiwan Strait,Tanker,177.0,2022,2022-01-03,,
2,Bab-Al Mandab Strait,Cargo,157.0,2022,2022-01-10,,
2,Bab-Al Mandab Strait,Other,118.0,2022,2022-01-10,,
2,Bab-Al Mandab Strait,Tanker,116.0,2022,2022-01-10,,
2,Cape of Good Hope,Cargo,48.0,2022,2022-01-10,,
2,Cape of Good Hope,Other,196.0,2022,2022-01-10,,
2,Cape of Good Hope,Tanker,80.0,2022,2022-01-10,,
2,Dover,Cargo,697.0,2022,2022-01-10,,
2,Dover,Other,186.0,2022,2022-01-10,,
2,Dover,Tanker,437.0,2022,2022-01-10,,
2,Hormuz,Cargo,107.0,2022,2022-01-10,,
2,Hormuz,Other,69.0,2022,2022-01-10,,
2,Hormuz,Tanker,316.0,2022,2022-01-10,,
2,Suez,Cargo,151.0,2022,2022-01-10,,
2,Suez,Other,91.0,2022,2022-01-10,,
2,Suez,Tanker,87.0,2022,2022-01-10,,
2,Taiwan Strait,Cargo,530.0,2022,2022-01-10,,
2,Taiwan Strait,Other,213.0,2022,2022-01-10,,
